Actual,Predicted
63.2,70.02747
46.8,61.31878
86.8,67.52049
-2.7,41.93509
27.4,42.994316
80.6,62.95476
74.4,65.74181
76.4,51.397045
37.3,56.177383
71.8,67.61869
27.8,49.635235
68.8,63.1704
71.4,76.476654
51.7,61.731
76.4,44.344498
37.6,49.528366
62.4,59.00705
26.6,41.50738
74.6,72.23865
55.9,71.58921
21.1,41.533436
81.5,69.90784
65.8,67.902176
61.8,51.414684
32.3,45.7529
67.1,65.417786
43.7,44.998558
31.6,52.75517
54.5,55.52174
66.6,49.99725
46.5,56.7361
55.7,69.638504
38.4,44.65438
47.0,70.861374
57.3,53.236763
42.9,50.435757
30.4,46.20105
32.8,41.86426
44.0,56.46124
46.4,62.343895
20.4,45.5976
74.3,76.19037
70.4,46.77629
79.5,75.754875
36.3,45.84032
43.1,51.306065
63.8,46.95122
37.3,58.961853
82.5,72.342865
52.4,60.98909
59.3,53.299446
52.8,57.10002
56.2,48.46147
35.1,44.41676
80.0,73.39103
53.6,50.952374
94.9,66.65433
78.4,74.46367
71.6,68.86875
58.4,52.094246
65.7,54.564297
81.2,76.067635
96.2,58.81085
61.1,45.337128
58.9,74.637146
83.1,70.736465
49.1,52.456844
77.8,43.307583
23.1,54.405952
56.3,41.36678
74.3,72.58651
81.6,76.322266
58.3,62.327435
80.5,58.788216
70.3,73.81207
63.5,44.59636
73.1,46.83504
57.3,63.12317
61.8,74.44222
56.5,66.75244
84.5,46.335625
32.4,53.361423
70.9,57.35359
62.0,72.542755
18.4,53.165592
73.0,65.37319
72.6,41.27239
54.7,69.86741
55.6,54.27054
83.2,65.78237
74.2,67.08212
87.8,75.43526
60.3,71.700325
78.9,74.15141
65.5,56.39021
44.8,47.458298
30.6,53.955875
18.8,43.973835
65.8,68.88465
76.2,74.71305
66.4,47.905857
75.0,59.509243
51.1,62.106102
72.4,74.10105
85.1,67.43906
57.5,42.492718
47.6,43.70662
62.8,62.76442
45.3,52.84474
84.2,72.303505
55.0,64.27222
64.6,67.61869
25.9,43.018913
67.7,75.14585
67.1,65.37404
80.0,58.31644
71.8,74.39351
61.6,75.18992
88.6,76.759865
40.6,45.493763
15.4,44.641453
84.1,68.95524
55.3,76.53067
84.1,79.9608
46.3,48.93719
50.2,56.075863
62.1,69.85486
68.4,46.51742
66.0,63.378677
30.8,46.282887
72.0,45.997826
7.7,45.73073
59.0,63.332973
80.7,66.52175
18.1,44.46516
74.0,49.3896
70.0,67.22057
60.2,68.964355
63.4,68.27045
57.3,66.88436
51.5,62.343895
66.5,51.78441
24.0,42.00017
77.6,68.60177
85.3,66.581055
10.3,52.99083
79.3,67.895
66.4,62.88803
48.5,48.4765
57.5,62.693916
40.0,65.394165
35.7,62.772854
71.1,60.75841
47.2,64.620766
81.4,63.69612
51.7,62.44943
48.1,47.79675
56.4,47.008636
91.9,70.3155
70.3,75.43526
77.8,65.0389
76.3,41.427505
61.4,44.721043
57.5,62.95703
32.0,43.86122
40.7,52.111332
21.2,48.522984
75.7,75.7288
46.0,50.107815
57.9,58.625637
37.8,45.77756
68.2,62.482265
84.1,50.40516
84.9,42.9274
81.8,68.64767
82.8,62.094334
67.5,73.90229
75.2,74.94286
76.1,53.363354
62.6,41.84651
60.5,52.52212
70.7,46.75359
67.6,45.760403
80.6,65.51723
53.2,56.880703
27.7,47.821854
65.2,69.46007
79.8,61.983295
47.7,42.2326
84.2,68.17647
40.2,47.968075
73.8,79.51416
76.1,63.38605
68.9,76.24879
40.4,43.629875
71.3,75.70274
25.0,42.808186
73.7,78.181435
33.9,44.32057
76.7,46.046
70.0,74.968925
63.5,47.09868
20.4,42.468174
71.0,65.85913
85.5,73.18652
84.5,53.436726
65.5,47.360634
54.7,64.62088
69.6,68.172676
35.0,51.929367
69.0,53.33491
43.0,55.2246
79.3,71.134315
64.9,68.58031
59.0,55.105427
62.1,63.332973
81.4,42.32401
53.8,41.815174
69.6,74.241135
81.7,43.487106
69.8,62.67358
71.1,44.226185
77.8,73.76195
72.7,59.95058
38.7,49.396008
38.8,59.15962
68.5,78.336716
54.0,68.29846
31.0,44.892002
71.8,76.01852
67.3,64.78094
77.9,70.95236
79.3,78.077324
71.3,42.101753
51.3,52.87285
63.9,62.98844
81.0,48.076183
28.8,47.777653
33.2,41.782673
60.6,61.09463
47.5,60.530144
80.6,72.212524
42.2,60.73572
75.5,68.34714
71.8,64.57242
80.1,60.88131
69.4,70.0156
77.5,67.57502
56.9,64.09025
83.9,68.82253
87.2,66.63383
20.1,40.988075
60.6,64.13401
67.4,53.85001
70.5,74.50442
81.4,68.22923
21.2,48.157677
41.4,60.745785
70.9,42.59612
51.9,56.880703
49.2,42.613647
21.7,51.703667
83.5,77.1463
87.4,74.89777
50.5,50.926083
62.6,65.565865
53.4,58.40148
69.1,44.103615
30.3,47.39802
64.3,48.141663
20.3,43.160954
74.6,78.316574
69.9,53.883686
68.5,61.163857
24.9,44.078773
66.1,63.634438
18.7,50.05079
62.4,76.003075
64.9,62.759274
46.6,53.768803
86.2,79.14865
72.0,76.03394
80.5,53.22489
24.6,45.512066
64.0,67.93586
60.3,44.598824
40.2,42.77819
56.5,41.329662
53.1,45.26891
77.3,73.52536
66.7,65.62337
54.8,64.03297
64.2,47.560795
78.5,74.553894
26.9,52.78114
82.4,76.453255
90.8,67.77102
67.5,69.65212
34.3,44.581623
65.9,68.09276
53.8,59.30366
80.8,79.085205
56.6,65.448
81.4,69.51587
87.5,75.319786
68.1,68.402466
80.7,73.56752
71.5,80.30654
53.8,44.880077
86.0,73.60029
80.6,57.114975
66.8,53.251286
11.6,46.799675
63.3,50.379543
48.7,70.26305
65.1,67.99175
64.8,60.26388
28.4,48.542107
47.6,61.380924
56.9,65.8406
86.0,69.25556
85.1,78.22384
80.9,71.10617
42.2,41.7704
65.9,59.605118
66.3,80.15595
73.8,75.75409
71.6,71.07647
46.9,47.16854
81.5,73.747894
61.0,40.916904
72.1,61.76707
63.5,70.47457
50.3,72.08785
14.3,41.153816
42.7,55.565746
55.5,59.143154
50.0,42.785862
81.9,74.624084
70.5,54.109398
29.2,48.920856
62.5,42.529217
50.7,66.80261
28.3,50.94591
46.3,64.56532
34.4,47.104706
78.4,72.21438
68.0,66.667885
81.7,76.6611
51.4,55.69025
26.9,42.067738
63.1,67.26758
46.2,48.85236
68.1,68.1532
55.3,59.014614
80.6,68.50615
48.0,47.14691
76.5,74.91078
77.3,71.72326
45.6,43.487106
61.0,51.618107
39.3,62.802116
66.1,78.51867
38.9,51.545326
81.7,55.891663
77.0,70.10234
79.8,59.59145
47.5,46.222782
69.7,53.717514
45.7,62.43699
68.7,42.086517
59.7,55.33783
60.1,66.33053
78.8,44.998558
56.5,64.42303
62.2,56.553238
34.2,44.813675
52.4,68.63327
53.6,55.01153
24.7,43.85404
68.4,61.345364
51.3,63.260323
67.6,65.71435
82.0,73.54005
37.8,47.165432
80.4,58.934372
85.1,52.19225
65.2,68.23402
48.8,45.831825
59.9,62.347122
88.4,68.29741
78.2,59.324463
38.1,54.540676
77.9,52.872223
78.4,67.945786
47.0,53.854492
36.9,51.612686
58.6,66.772285
64.3,46.979153
81.3,73.946396
83.6,54.631657
52.6,54.03851
80.5,51.292645
81.6,76.19551
57.6,65.16377
57.3,56.35554
57.9,60.98909
60.8,53.63437
72.9,78.02003
69.0,69.13626
27.6,42.077656
9.7,42.00017
86.7,71.08253
70.5,48.816322
78.4,53.998283
50.5,56.96529
34.0,51.18308
84.7,77.34199
40.1,61.551052
53.8,54.44747
54.5,49.137676
68.3,67.15135
27.3,46.56867
58.3,72.98411
28.0,54.873226
72.0,43.500435
39.6,45.714355
39.9,58.228634
37.9,42.38689
79.9,72.16877
76.6,67.62047
70.9,64.4917
55.1,69.28453
64.1,48.75258
59.4,47.313416
63.9,77.268585
80.1,43.765827
84.3,72.81664
61.4,70.36631
43.7,53.21315
71.4,78.27942
60.0,72.36966
79.4,76.303566
67.6,61.384853
65.6,77.13046
36.4,55.736744
49.7,72.515236
38.4,46.56716
75.2,73.62344
48.2,77.272064
72.4,74.05467
40.6,60.61995
56.2,58.90255
38.3,46.46133
78.8,50.489838
72.7,73.203156
22.5,54.92821
70.9,69.51587
40.7,47.40195
79.7,74.98095
73.9,48.728714
71.7,75.53959
31.8,43.14835
78.6,62.40254
68.4,61.561592
55.3,61.111095
73.5,76.09939
82.7,73.26933
61.5,55.15392
80.5,45.904064
78.4,66.92728
52.6,59.868362
69.3,65.92933
21.0,46.021915
77.4,75.64798
72.3,73.56947
61.2,58.584354
81.4,57.544857
50.8,62.60435
40.0,44.46516
79.3,70.25473
72.9,70.03122
56.1,65.30609
55.5,69.53025
47.7,54.33859
54.1,56.966244
56.3,62.076244
62.3,60.361736
82.6,68.112465
25.7,53.319717
44.8,52.0514
20.7,42.511066
65.8,51.15779
83.3,79.45136
71.9,68.873405
65.3,78.7107
60.0,58.16816
75.7,75.270515
81.8,76.80361
42.8,65.88223
45.4,42.42008
75.9,60.801254
55.5,61.81539
79.5,75.14736
81.6,58.075413
41.8,43.73073
33.5,44.55262
73.2,51.0496
74.3,44.872437
56.5,58.51356
49.6,61.015476
33.4,51.227146
78.5,47.66721
81.8,78.25929
66.7,41.56246
71.6,52.077652
76.0,41.58952
55.6,66.0667
80.7,74.15803
76.1,77.3804
74.9,72.46184
