Actual,Predicted
63.2,72.51159
46.8,62.822132
86.8,66.984764
-2.7,42.599327
27.4,43.411877
80.6,64.49734
74.4,67.0278
76.4,50.91242
37.3,54.518917
71.8,68.41762
27.8,49.908295
68.8,64.67596
71.4,76.456406
51.7,63.772346
76.4,42.584785
37.6,47.238525
62.4,58.281174
26.6,42.9709
74.6,73.47515
55.9,72.61228
21.1,43.071198
81.5,72.40934
65.8,66.584114
61.8,51.866684
32.3,45.171444
67.1,66.46059
43.7,42.171566
31.6,52.266083
54.5,58.645035
66.6,50.132202
46.5,58.200134
55.7,70.13516
38.4,44.943047
47.0,72.71976
57.3,52.058468
42.9,47.84359
30.4,45.01789
32.8,42.734436
44.0,57.11546
46.4,61.63732
20.4,45.105743
74.3,74.586685
70.4,47.724037
79.5,76.28353
36.3,43.670662
43.1,50.897156
63.8,48.748024
37.3,59.516026
82.5,73.891525
52.4,60.473316
59.3,51.827114
52.8,57.63081
56.2,48.29877
35.1,44.789013
80.0,74.99882
53.6,51.702816
94.9,67.65317
78.4,76.7499
71.6,70.68238
58.4,53.06826
65.7,53.266903
81.2,76.50384
96.2,58.455925
61.1,45.91505
58.9,74.42641
83.1,71.877884
49.1,53.51424
77.8,43.754353
23.1,52.957798
56.3,43.142822
74.3,73.10556
81.6,76.503334
58.3,62.53892
80.5,58.854305
70.3,76.40378
63.5,45.413334
73.1,48.67997
57.3,64.82081
61.8,74.63856
56.5,66.34275
84.5,44.083836
32.4,52.222042
70.9,55.34893
62.0,72.77368
18.4,55.049873
73.0,65.59421
72.6,43.242184
54.7,73.44322
55.6,53.524742
83.2,65.98073
74.2,68.52867
87.8,74.29659
60.3,73.05859
78.9,72.92992
65.5,57.49575
44.8,46.89065
30.6,53.031178
18.8,44.78835
65.8,69.6562
76.2,76.25984
66.4,47.113632
75.0,59.28926
51.1,61.411682
72.4,74.56817
85.1,68.36923
57.5,42.96824
47.6,42.514202
62.8,66.138145
45.3,51.179245
84.2,72.88688
55.0,65.27831
64.6,68.41762
25.9,43.485252
67.7,74.38434
67.1,65.87752
80.0,58.67181
71.8,76.76896
61.6,75.20211
88.6,74.56202
40.6,44.741207
15.4,44.677475
84.1,68.704315
55.3,74.51585
84.1,75.29437
46.3,46.650917
50.2,57.160595
62.1,73.59547
68.4,44.750793
66.0,64.73275
30.8,48.047504
72.0,43.784897
7.7,47.42764
59.0,66.42695
80.7,68.18232
18.1,45.3069
